id,name,longitude,latitude
76,"ք․ Երևան,   Աճառյան փողոց հ․37/41",44.550733,40.220339
77,"ք․ Երևան,   Աճառյան փողոց հ․37/41",44.54981418,40.22028588
78,"ք․ Երևան,   Դավթաշեն Ա.Միկոյան 31",44.49442396,40.21710904
79,"ք․ Երևան,   Դավթաշեն Ա.Միկոյան 31",44.49487403,40.21759834
80,"ք․ Երևան, Զորավար Անդրանիկի փ․ 121/6",44.44647031,40.16685729
81,"ք․ Երևան, Զորավար Անդրանիկի փ․ 121/6",44.44609682,40.1668213
82,"ք․ Երևան, Գ.Հասրաթյան 19",44.46205,40.195894
83,"ք․ Երևան, Գ.Հասրաթյան 19",44.461971,40.195849
84,"ք․ Երևան,  Պարոնյան 15/5 ",44.499183,40.180281
85,"ք․ Երևան,  Պարոնյան 15/5 ",44.499216,40.17912
86,"ք․ Երևան, Մանուկ Աբեղյան 5 տուն",44.525809,40.178973
87,"ք․ Երևան, Նոր Նորք, Գյուրջյան փողոց 14/1",44.55596523,40.18752295
88,"ք․ Երևան, Մանուկ Աբեղյան 5 տուն",44.525881,40.179055
89,"ք․ Երևան,  Ավան Աճառյան 37/1",44.556577,40.229663
90,"ք․ Երևան,  Ավան Աճառյան 37/1",44.556424,40.23007
91,"ք․ Երևան, Նոր Նորք, Գյուրջյան փողոց 14/1",44.555432,40.187989
92,"ք․ Երևան,  Խանջյան 7/2",44.51631577,40.17403294
93,"ք․ Երևան,  Խանջյան 7/2",44.516232,40.17416285
94,"ք․ Երևան, Վերին Անտառային 146/7",44.51152598,40.19694712
95,"ք․ Երևան, Նորքի Այգիներ 180 ",44.53630276,40.18309529
96,"ք․ Երևան, Նորքի Այգիներ 180 ",44.536401,40.183089
97,"ք․ Երևան, Ն. Ադոնցի փողոց 19/4",44.518601,40.213233
98,"ք․ Երևան, Ն. Ադոնցի փողոց 19/4",44.5184425,40.21321854
99,"ք․ Երևան, Ահարոնյան 2",44.53279015,40.2075163
100,"ք․ Երևան, Ահարոնյան 2",44.532404,40.20790828
101,"ք․ Երևան, Դ․Հովհաննեսի փ․ հ․16 ",44.508796,40.202092
102,"ք․ Երևան, Դ․Հովհաննեսի փ․ հ․16 ",44.508619,40.201929
103,"ք․ Երևան, Քանաքեռցու 141/3",44.55105796,40.22958342
104,"ք․ Երևան, Քանաքեռցու 141/3",44.550823,40.229327
105,"ք․ Երևան, Արշակունյաց 9/2 ",44.506554,40.166703
106,"ք․ Երևան, Արշակունյաց 33 ,33/2",44.50317495,40.15747727
107,"ք․ Երևան, Արշակունյաց 9/2 ",44.50823365,40.1666896
108,"ք․ Երևան, Արշակունյաց 33 ,33/2",44.502631,40.158154
